component,component_id,hour,lower_multiplier,upper_multiplier,source_type_cn,paper_basis_cn,needs_user_confirm,source_note
load,system,22,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,23,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,24,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
wind,W3,1,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,2,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,3,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,4,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,5,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,6,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,7,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,8,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,9,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,10,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,11,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,12,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,13,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,14,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,15,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,16,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,17,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,18,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,19,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,20,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,21,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,22,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,23,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W3,24,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,1,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,2,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,3,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,4,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,5,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,6,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,7,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,8,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,9,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,10,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,11,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,12,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,13,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,14,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,15,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,16,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,17,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,18,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,19,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,20,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,21,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,22,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,23,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
wind,W14,24,0.8,1.2,论文规则重建,按论文材料中的 +/-20% 风电不确定性整理为结构化边界。,否,由阶段二对话生成，可用于回填 data/uncertainty_bounds.csv 前人工复核。
